cellId,seed,starter,clearedHeats,wonNormalOrGauntlet,coins,score,hands,discards,censoredAtCap
normal/medium/adaptive/full/astra,2775637815,polish,9,False,63,12598,17,7,False
normal/medium/adaptive/full/astra,2775637816,polish,9,False,63,12908,18,9,False
normal/medium/adaptive/full/astra,2775637817,polish,11,False,89,10555,26,4,False
normal/medium/adaptive/full/astra,2775637818,polish,11,False,89,11419,18,17,False
normal/medium/adaptive/full/astra,2775637819,polish,11,False,89,21845,27,11,False
normal/medium/adaptive/full/astra,2775637820,polish,8,False,53,8405,14,8,False
normal/medium/adaptive/full/astra,2775637821,polish,10,False,76,9081,21,6,False
normal/medium/adaptive/full/astra,2775637822,polish,5,False,26,2020,10,3,False
normal/medium/adaptive/full/astra,2775637823,polish,11,False,89,11435,35,9,False
normal/medium/adaptive/full/astra,2775637824,polish,9,False,63,6505,24,10,False
normal/medium/adaptive/full/astra,2775637825,polish,8,False,53,6777,18,3,False
normal/medium/adaptive/full/astra,2775637826,polish,11,False,89,12898,20,6,False
normal/medium/adaptive/full/astra,2775637827,polish,10,False,76,9655,25,17,False
normal/medium/adaptive/full/astra,2775637828,polish,9,False,63,6681,19,10,False
normal/medium/adaptive/full/astra,2775637829,polish,11,False,89,18298,28,10,False
normal/medium/adaptive/full/astra,2775637830,polish,12,True,122,17155,15,12,False
normal/medium/adaptive/full/astra,2775637831,polish,11,False,89,10844,26,3,False
normal/medium/adaptive/full/astra,2775637832,polish,8,False,53,7498,18,10,False
normal/medium/adaptive/full/astra,2775637833,polish,7,False,43,5060,18,0,False
normal/medium/adaptive/full/astra,2775637834,polish,8,False,53,5660,17,4,False
normal/medium/adaptive/full/astra,2775637835,polish,12,True,122,13467,21,14,False
normal/medium/adaptive/full/astra,2775637836,polish,12,True,122,11295,24,3,False
normal/medium/adaptive/full/astra,2775637837,polish,11,False,89,13901,19,6,False
normal/medium/adaptive/full/astra,2775637838,polish,11,False,89,12450,24,1,False
normal/medium/adaptive/full/astra,2775637839,polish,7,False,43,5189,13,6,False
normal/medium/adaptive/full/astra,2775637840,polish,11,False,89,17402,28,17,False
normal/medium/adaptive/full/astra,2775637841,polish,12,True,122,14884,24,12,False
normal/medium/adaptive/full/astra,2775637842,polish,11,False,89,12258,26,12,False
normal/medium/adaptive/full/astra,2775637843,polish,12,True,122,13956,32,19,False
normal/medium/adaptive/full/astra,2775637844,polish,8,False,53,5938,17,9,False
normal/medium/adaptive/full/astra,2775637845,polish,11,False,89,11204,27,16,False
normal/medium/adaptive/full/astra,2775637846,polish,10,False,76,9776,29,5,False
normal/medium/adaptive/full/astra,2775637847,polish,12,True,122,12625,18,11,False
normal/medium/adaptive/full/astra,2775637848,polish,12,True,122,11742,21,14,False
normal/medium/adaptive/full/astra,2775637849,polish,8,False,53,6342,18,13,False
normal/medium/adaptive/full/astra,2775637850,polish,11,False,89,10744,32,15,False
normal/medium/adaptive/full/astra,2775637851,polish,8,False,53,5440,18,2,False
normal/medium/adaptive/full/astra,2775637852,polish,5,False,26,2174,10,5,False
normal/medium/adaptive/full/astra,2775637853,polish,11,False,89,11892,19,8,False
normal/medium/adaptive/full/astra,2775637854,polish,11,False,89,13988,23,10,False
normal/medium/adaptive/full/astra,2775637855,polish,12,True,122,12215,22,16,False
normal/medium/adaptive/full/astra,2775637856,polish,11,False,89,10923,23,4,False
normal/medium/adaptive/full/astra,2775637857,polish,12,True,122,15717,28,20,False
normal/medium/adaptive/full/astra,2775637858,polish,11,False,89,14771,29,21,False
normal/medium/adaptive/full/astra,2775637859,polish,11,False,89,14825,33,9,False
normal/medium/adaptive/full/astra,2775637860,polish,11,False,89,11614,26,9,False
normal/medium/adaptive/full/astra,2775637861,polish,12,True,122,14286,25,2,False
normal/medium/adaptive/full/astra,2775637862,polish,11,False,89,12696,22,10,False
normal/medium/adaptive/full/astra,2775637863,polish,12,True,122,12684,24,9,False
normal/medium/adaptive/full/astra,2775637864,polish,10,False,76,9270,21,5,False
normal/medium/adaptive/full/astra,2775637865,polish,7,False,43,3898,13,2,False
normal/medium/adaptive/full/astra,2775637866,polish,10,False,76,9383,20,4,False
normal/medium/adaptive/full/astra,2775637867,polish,11,False,89,11791,21,11,False
normal/medium/adaptive/full/astra,2775637868,polish,11,False,89,17203,27,10,False
normal/medium/adaptive/full/astra,2775637869,polish,8,False,53,7450,18,13,False
normal/medium/adaptive/full/astra,2775637870,polish,12,True,122,13288,25,23,False
normal/medium/adaptive/full/astra,2775637871,polish,5,False,26,2064,11,6,False
normal/medium/adaptive/full/astra,2775637872,polish,7,False,43,3738,14,2,False
normal/medium/adaptive/full/astra,2775637873,polish,9,False,63,6983,25,5,False
normal/medium/adaptive/full/astra,2775637874,polish,12,True,122,15645,20,3,False
normal/medium/adaptive/full/astra,2775637875,polish,12,True,122,11428,24,14,False
normal/medium/adaptive/full/astra,2775637876,polish,9,False,63,9615,17,13,False
normal/medium/adaptive/full/astra,2775637877,polish,10,False,76,13146,32,9,False
normal/medium/adaptive/full/astra,2775637878,polish,12,True,122,14078,30,14,False
normal/medium/adaptive/full/astra,2775637879,polish,12,True,122,13127,24,15,False
normal/medium/adaptive/full/astra,2775637880,polish,7,False,43,3754,16,5,False
normal/medium/adaptive/full/astra,2775637881,polish,5,False,26,2246,10,2,False
normal/medium/adaptive/full/astra,2775637882,polish,12,True,122,18805,17,11,False
normal/medium/adaptive/full/astra,2775637883,polish,8,False,53,7141,15,2,False
normal/medium/adaptive/full/astra,2775637884,polish,11,False,89,14299,19,5,False
normal/medium/adaptive/full/astra,2775637885,polish,11,False,89,12619,27,21,False
normal/medium/adaptive/full/astra,2775637886,polish,9,False,63,11409,21,7,False
normal/medium/adaptive/full/astra,2775637887,polish,8,False,53,5124,23,6,False
normal/medium/adaptive/full/astra,2775637888,polish,8,False,53,5757,20,7,False
normal/medium/adaptive/full/astra,2775637889,polish,12,True,122,18496,15,15,False
normal/medium/adaptive/full/astra,2775637890,polish,12,True,122,11460,28,13,False
normal/medium/adaptive/full/astra,2775637891,polish,12,True,122,13600,18,5,False
normal/medium/adaptive/full/astra,2775637892,polish,10,False,76,9150,25,7,False
normal/medium/adaptive/full/astra,2775637893,polish,8,False,53,6353,20,9,False
normal/medium/adaptive/full/astra,2775637894,polish,12,True,122,19809,22,7,False
normal/medium/adaptive/full/astra,2775637895,polish,10,False,76,13323,26,14,False
normal/medium/adaptive/full/astra,2775637896,polish,8,False,53,6195,12,6,False
normal/medium/adaptive/full/astra,2775637897,polish,11,False,89,11343,23,12,False
normal/medium/adaptive/full/astra,2775637898,polish,12,True,122,12311,21,4,False
normal/medium/adaptive/full/astra,2775637899,polish,11,False,89,9892,27,5,False
normal/medium/adaptive/full/astra,2775637900,polish,11,False,89,13892,22,4,False
normal/medium/adaptive/full/astra,2775637901,polish,8,False,53,5577,21,9,False
normal/medium/adaptive/full/astra,2775637902,polish,11,False,89,14186,21,15,False
normal/medium/adaptive/full/astra,2775637903,polish,10,False,76,9159,23,13,False
normal/medium/adaptive/full/astra,2775637904,polish,8,False,53,4646,18,10,False
normal/medium/adaptive/full/astra,2775637905,polish,11,False,89,14986,28,15,False
normal/medium/adaptive/full/astra,2775637906,polish,10,False,76,8603,27,12,False
normal/medium/adaptive/full/astra,2775637907,polish,12,True,122,12381,32,12,False
normal/medium/adaptive/full/astra,2775637908,polish,12,True,122,13434,24,13,False
normal/medium/adaptive/full/astra,2775637909,polish,12,True,122,14102,28,18,False
normal/medium/adaptive/full/astra,2775637910,polish,7,False,43,4481,12,2,False
normal/medium/adaptive/full/astra,2775637911,polish,6,False,33,2945,12,3,False
normal/medium/adaptive/full/astra,2775637912,polish,9,False,63,7373,19,8,False
normal/medium/adaptive/full/astra,2775637913,polish,12,True,122,12364,26,15,False
normal/medium/adaptive/full/astra,2775637914,polish,11,False,89,19294,37,16,False
normal/medium/adaptive/full/astra,2775637915,polish,8,False,53,6714,17,6,False
normal/medium/adaptive/full/astra,2775637916,polish,12,True,122,14117,17,10,False
normal/medium/adaptive/full/astra,2775637917,polish,11,False,89,12968,29,6,False
normal/medium/adaptive/full/astra,2775637918,polish,12,True,122,14966,21,12,False
normal/medium/adaptive/full/astra,2775637919,polish,9,False,63,7274,20,9,False
normal/medium/adaptive/full/astra,2775637920,polish,10,False,76,10595,21,4,False
normal/medium/adaptive/full/astra,2775637921,polish,11,False,89,13876,17,4,False
normal/medium/adaptive/full/astra,2775637922,polish,10,False,76,13990,19,10,False
normal/medium/adaptive/full/astra,2775637923,polish,12,True,122,13846,18,9,False
normal/medium/adaptive/full/astra,2775637924,polish,12,True,122,16351,38,9,False
normal/medium/adaptive/full/astra,2775637925,polish,12,True,122,13438,23,19,False
normal/medium/adaptive/full/astra,2775637926,polish,11,False,89,14588,31,7,False
normal/medium/adaptive/full/astra,2775637927,polish,12,True,122,12506,27,21,False
normal/medium/adaptive/full/astra,2775637928,polish,12,True,122,16636,22,13,False
normal/medium/adaptive/full/astra,2775637929,polish,11,False,89,10905,22,16,False
normal/medium/adaptive/full/astra,2775637930,polish,8,False,53,9561,23,9,False
normal/medium/adaptive/full/astra,2775637931,polish,11,False,89,11229,27,6,False
normal/medium/adaptive/full/astra,2775637932,polish,11,False,89,13362,26,10,False
normal/medium/adaptive/full/astra,2775637933,polish,5,False,26,2411,14,4,False
normal/medium/adaptive/full/astra,2775637934,polish,6,False,33,2827,16,6,False
normal/medium/adaptive/full/astra,2775637935,polish,11,False,89,14688,28,9,False
normal/medium/adaptive/full/astra,2775637936,polish,12,True,122,12927,21,8,False
normal/medium/adaptive/full/astra,2775637937,polish,12,True,122,18152,14,3,False
normal/medium/adaptive/full/astra,2775637938,polish,10,False,76,12458,22,9,False
normal/medium/adaptive/full/astra,2775637939,polish,12,True,122,13699,21,11,False
normal/medium/adaptive/full/astra,2775637940,polish,8,False,53,5851,16,10,False
normal/medium/adaptive/full/astra,2775637941,polish,12,True,122,12889,21,14,False
normal/medium/adaptive/full/astra,2775637942,polish,11,False,89,15266,28,1,False
normal/medium/adaptive/full/astra,2775637943,polish,6,False,33,3450,15,7,False
normal/medium/adaptive/full/astra,2775637944,polish,8,False,53,6132,23,2,False
normal/medium/adaptive/full/astra,2775637945,polish,12,True,122,16975,20,4,False
normal/medium/adaptive/full/astra,2775637946,polish,8,False,53,6236,15,3,False
normal/medium/adaptive/full/astra,2775637947,polish,12,True,122,14158,31,8,False
normal/medium/adaptive/full/astra,2775637948,polish,11,False,89,10525,24,7,False
normal/medium/adaptive/full/astra,2775637949,polish,12,True,122,14983,21,5,False
normal/medium/adaptive/full/astra,2775637950,polish,11,False,89,11133,26,14,False
normal/medium/adaptive/full/astra,2775637951,polish,12,True,122,13085,17,6,False
normal/medium/adaptive/full/astra,2775637952,polish,8,False,53,5111,17,6,False
